Name,HOCO,LUCO,Indirect Gap,EA/eV,Conductivity (20%),Log(20%),Conductivity (Max),Log(Max),SMILES
A-A,-4.83,-4.1,0.73,2.55,0.015,-1.823908741,0.018,-1.744727495,C=C1C(=O)N(C)c2c1ccc1cc3c4c(ccc3cc21)/C(=C1\C(=O)N(C)c2c1ccc1cc3c5c(ccc3cc21)C(=C)C(=O)N5C)C(=O)N4C
A-N,-4.91,-4.14,0.76,2.5,0.2,-0.698970004,0.26,-0.585026652,C=C1[C]2C=C[C]3C(=C2N(C)C1=O)C=CC1=C3N(C)C(=O)/C1=C1/C(=O)N(C)c2c1ccc1cc3c4c(ccc3cc21)C(=C)C(=O)N4C
BDOPV-2T,-5.58,-4.08,1.5,2.76,0.0001,-4,0.04,-1.397940009,CN1C(=O)/C(=C2\[C]3C=C4OC(=O)/C(=C5/C(=O)N(C)c6cc(-c7ccc(-c8cccs8)s7)ccc65)[C]4C=C3OC2=O)c2ccccc21
BDOPV-T,-5.59,-4.24,1.35,2.73,0.003,-2.522878745,0.07,-1.15490196,CN1C(=O)/C(=C2\[C]3C=C4OC(=O)/C(=C5/C(=O)N(C)c6cc(-c7cccs7)ccc65)[C]4C=C3OC2=O)c2ccccc21
BDOPV-TCCT,-5.58,-4,1.58,2.72,0.0003,-3.522878745,0.000864,-3.063486258,CN1C(=O)/C(=C2\[C]3C=C4OC(=O)/C(=C5/C(=O)N(C)c6cc(-c7ccc(CCc8cccs8)s7)ccc65)[C]4C=C3OC2=O)c2ccccc21
BDPPV,-5.55,-4.36,1.19,2.72,0.005,-2.301029996,0.26,-0.585026652,C=Cc1ccc2c(c1)N(C)C(=O)/C2=C1\[C]2C=C3OC(=O)/C(=C4/C(=O)N(C)c5ccccc54)[C]3C=C2OC1=O
ClBDPPV,-5.77,-4.52,1.24,2.95,0.01,-2,4,0.602059991,C=Cc1cc2c(cc1Cl)/C(=C1/[C]3C=C4OC(=O)/C(=C5/C(=O)N(C)c6ccc(Cl)cc65)[C]4C=C3OC1=O)C(=O)N2C
CNg4T2-2FT,-5.72,-3.4,2.32,1.45,0.025,-1.602059991,0.21,-0.677780705,COCCCOc1c(-c2scc(C#N)c2OCCOC)sc(-c2scc(F)c2F)c1C#N
CNg4T2-CNT2,-5.67,-3.93,1.73,2.03,1.5,0.176091259,13.2,1.120573931,COCCCOc1c(-c2scc(C#N)c2OCCOC)sc(-c2cc(C#N)c(-c3sccc3C#N)s2)c1C#N
DDBDT,-5.53,-4.73,0.8,3.22,0.1,-1,0.25,-0.602059991,CN1C(=O)C=c2ccc3c4c(ccc3c21)=C(C1=c2cc3c(cc2OC1=O)=CC(=O)O3)C(=O)N4C
